title,price,mrp,link
Apple iPhone 15 (128 GB) - Black,"61,500","₹79,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTA2MzE4NzkwMjc5NjQ5OjE3NDI5ODc5ODc6c3BfYXRmOjMwMDA1NDM0NTk0NzYzMjo6MDo6&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX1W1XY%2Fref%3Dsr_1_1_sspa%3Fcrid%3DCXY8ABTLUDQP%26dib%3DeyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1742987987%26sprefix%3Diphone%252Caps%252C264%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 13 (128GB) - Blue,"44,999","₹59,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTA2MzE4NzkwMjc5NjQ5OjE3NDI5ODc5ODc6c3BfYXRmOjIwMDc0MjM1MTE3ODAzOjowOjo&url=%2FApple-iPhone-13-128GB-Blue%2Fdp%2FB09G9BL5CP%2Fref%3Dsr_1_2_sspa%3Fcrid%3DCXY8ABTLUDQP%26dib%3DeyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1742987987%26sprefix%3Diphone%252Caps%252C264%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"iPhone 16 Pro 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","1,22,900","₹1,29,900",https://www.amazon.in/iPhone-16-Pro-256-GB/dp/B0DGJC8DG8/ref=sr_1_3?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-3
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","1,12,900","₹1,19,900",https://www.amazon.in/iPhone-16-Pro-128-GB/dp/B0DGJH94KM/ref=sr_1_4?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-4
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","73,900","₹79,900",https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y/ref=sr_1_5?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-5
Apple iPhone 15 (128 GB) - Pink,"61,900","₹69,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_6?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-6
Apple iPhone 15 (128 GB) - Black,"61,500","₹79,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_7?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-7
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","73,400","₹79,900",https://www.amazon.in/iPhone-16-128-GB-Ultramarine/dp/B0DGJ7TGDR/ref=sr_1_8?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-8
Apple iPhone 15 (128 GB) - Blue,"61,900","₹79,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_9?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-9
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","58,400","₹59,900",https://www.amazon.in/iPhone-16e-128-Intelligence-Supersized/dp/B0DXQH1DBS/ref=sr_1_10?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-10
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","1,37,900","₹1,44,900",https://www.amazon.in/iPhone-16-Pro-Max-256/dp/B0DGJJM5HZ/ref=sr_1_11?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-11
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink","73,900","₹79,900",https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJ8YZDF/ref=sr_1_12?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-12
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","73,400","₹89,900",https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJH8RYG/ref=sr_1_13?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-13
Apple iPhone 13 (128GB) - Starlight,"44,999","₹49,900",https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_14?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-14
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","84,400","₹89,900",https://www.amazon.in/iPhone-16-256-GB-Control/dp/B0DGJ54GQW/ref=sr_1_15?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-15
Apple iPhone 13 (128GB) - Blue,"44,999","₹59,900",https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_16?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-16
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; White Titanium","1,10,900","₹1,19,900",https://www.amazon.in/iPhone-16-Pro-128-GB/dp/B0DGJBN8TV/ref=sr_1_17?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-17
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; White","58,400","₹59,900",https://www.amazon.in/iPhone-16e-128-Intelligence-Supersized/dp/B0DXQHMRCP/ref=sr_1_18?crid=CXY8ABTLUDQP&dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNLEezk9HpW6InYlZv6qpKSRugWtd3jFWu7aKwJPSZXebotj8zGrQ_XvGfAW_n7a4E9hRA15Wv9bbRVDj8AN0Vd6B1AFYlQrpYEezrkefQqEoGTnhCHewdYidsgWwQUG0fvmTHqUegFLFWtg7bXz5OG4.srdEvj_pnyRuS1zdSIMtspMwjJcFPTllDPbuB1B9Q4w&dib_tag=se&keywords=iphone&qid=1742987987&sprefix=iphone%2Caps%2C264&sr=8-18
